"title","Archive_Date","position","location","url","District","Category","Broad_Category"
"Computer Science Teacher (Middle School)","2025-03-14","Teacher","Lander Middle School","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1","Computer Science Education","CTE - Business & Family Sciences"
"Elementary Teacher","2025-03-14","Teacher","Gannett Peak Elementary","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1","Elementary Education","Elementary"
"Elementary Teacher","2025-03-14","Teacher","Baldwin Creek Elementary","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1","Elementary Education","Elementary"
"Language Arts Teacher","2025-03-14","Teacher","Lander Valley High School","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1","English Language Arts Education","English Language Arts Secondary"
"Family and Consumer Science Teacher","2025-03-14","Teacher","Lander Middle School","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1","Family and Consumer Science","CTE - Business & Family Sciences"
"Science Teacher","2025-03-14","Teacher","Lander Middle School","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1","Science Education","Science"
"Special Education Teacher - Elementary level","2025-03-14","Teacher","Gannett Peak Elementary","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1","Special Education - General","Special Education - General"
"Music Teacher K-8th Grade (Open Until Filled)","2025-03-14","Teacher","Fort Washakie Elementary","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21","Music Education","Music"
"Elementary Teacher","2025-03-14","Teacher","Fort Washakie Elementary","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21","Elementary Education","Elementary"
"Math Teacher - Middle School 2025-2026 School Year","2025-03-14","Teacher","Fort Washakie Middle School","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21","Mathematics Education","Math"
"Special Education Teachers - Life Skills - Open until Filled","2025-03-14","Teacher","Fort Washakie Elementary","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Special Education Teachers (Grades K-12)","2025-03-14","Teacher","Fort Washakie Middle School","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21","Special Education - General","Special Education - General"
"Secondary Strength Conditioning/PE/Health Teacher 2025-2026","2025-03-14","Teacher","Shoshoni JH/HS","https://www.applitrack.com/fremont24/onlineapp/default.aspx?all=1","Fremont County School District 24","Physical Education","Physical Education"
"Music Teacher","2025-03-14","Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Music Education","Music"
"Music Teacher","2025-03-14","Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Music Education","Music"
"Elementary Teacher","2025-03-14","Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Elementary Education","Elementary"
"High School Math Teacher","2025-03-14","Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Mathematics Education","Math"
"Special Education Teacher","2025-03-14","Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Special Education - General","Special Education - General"
"Special Education Teacher","2025-03-14","Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Special Education - General","Special Education - General"
"Athletic Director/Teacher","2025-03-14","Teacher","District Wide","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14","Uncategorized","Other"
"High School Social Studies Teacher","2025-03-14","Teacher","Wyoming Indian High School","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14","Social Studies Education","Secondary Social Studies"
"Middle School Mathematics","2025-03-14","Teacher","Wyoming Indian Middle School","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14","Mathematics Education","Math"
"Elementary Education Teacher","2025-03-14","Teacher","Ralph Witters Elementary School","https://www.applitrack.com/hotsprings1/onlineapp/default.aspx?all=1","Hot Springs County School District 1","Elementary Education","Elementary"
"HS English Teacher","2025-03-14","Teacher","Hot Springs County School District #1","https://www.applitrack.com/hotsprings1/onlineapp/default.aspx?all=1","Hot Springs County School District 1","English Language Arts Education","English Language Arts Secondary"
"Special Education Teacher (Life Skills)","2025-03-14","Teacher","Buffalo High School","https://www.applitrack.com/jcsd1/onlineapp/jobpostings/view.asp?internaltransferform.Url=&all=1","Johnson County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Special Education Teacher","2025-03-14","Teacher","Cloud Peak Elementary School","https://www.applitrack.com/jcsd1/onlineapp/jobpostings/view.asp?internaltransferform.Url=&all=1","Johnson County School District 1","Special Education - General","Special Education - General"
"Elementary Teacher","2025-03-14","Teacher","Canyon Elementary School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1","Elementary Education","Elementary"
"K-6 Physical Education Teacher","2025-03-14","Teacher","Canyon Elementary School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1","Physical Education","Physical Education"
"Secondary English Teacher","2025-03-14","Teacher","Kemmerer Junior Senior High School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1","English Language Arts Education","English Language Arts Secondary"
"CTE/Industrial Arts Teacher","2025-03-14","Teacher","Kemmerer Junior Senior High School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1","Technical Education","CTE - Trades, Ag & Technical"
"K-12 Special Education Teacher","2025-03-14","Teacher","Canyon Elementary School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1","Special Education - General","Special Education - General"
"K-12 Physical Education/Health Teacher","2025-03-14","Teacher","All Schools","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6","Physical Education","Physical Education"
"Social Studies Teacher","2025-03-14","Teacher","Cody High School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6","Social Studies Education","Secondary Social Studies"
"Math Teacher","2025-03-14","Teacher","Cody Middle School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6","Mathematics Education","Math"
"ASD Special Education Teacher","2025-03-14","Teacher","Cody Middle School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6","Special Education - General","Special Education - General"
"Special Education Resource Teacher","2025-03-14","Teacher","Cody High School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Special Education Resource Teacher","2025-03-14","Teacher","Cody Middle School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"BHHS Math Teacher","2025-03-14","Teacher","Big Horn High School","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1","Mathematics Education","Math"
"Elementary Classroom Teacher - Meadowlark Elementary Teacher","2025-03-14","Teacher","Meadowlark","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2","Elementary Education","Elementary"
"4th Grade Classroom Teacher - Sagebrush Elementary","2025-03-14","Teacher","Sagebrush","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2","Elementary Education","Elementary"
"4th/5th Grade Classroom Teacher - Story Elementary","2025-03-14","Teacher","Story","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2","Elementary Education","Elementary"
"K-5 Classroom Teacher - HAC Elementary","2025-03-14","Teacher","Henry A. Coffeen","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2","Elementary Education","Elementary"
"High School English Classroom Teacher","2025-03-14","Teacher","Sheridan High School","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2","English Language Arts Education","English Language Arts Secondary"
"High School Mathematics Teacher - Sheridan High School","2025-03-14","Teacher","Sheridan High School","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2","Mathematics Education","Math"
"Special Education Classroom Teacher - Sheridan High School","2025-03-14","Teacher","Sheridan High School","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2","Special Education - General","Special Education - General"
"Special Education Teacher - Sheridan Junior High School","2025-03-14","Teacher","Sheridan Junior High School","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2","Special Education - General","Special Education - General"
"Social Studies Classroom Teacher - Sheridan Junior High School","2025-03-14","Teacher","Sheridan Junior High School","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2","Social Studies Education","Secondary Social Studies"
"Special Education Teacher","2025-03-14","Teacher","District Office","https://www.applitrack.com/sublette/onlineapp/default.aspx?all=1","Sublette County School District 9","Special Education - General","Special Education - General"
"K-5 Physical Education Teacher","2025-03-14","Teacher","Big Piney Elementary","https://www.applitrack.com/sublette/onlineapp/default.aspx?all=1","Sublette County School District 9","Physical Education","Physical Education"
"Elementary Teacher 2nd Grade","2025-03-14","Teacher","Northpark Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Elementary Education","Elementary"
"English/Language Arts","2025-03-14","Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","English Language Arts Education","English Language Arts Secondary"
"JROTC Army Non-Senior Military Instructor","2025-03-14","Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","CTE Teacher","CTE - Trades, Ag & Technical"
"Library Media Specialist 4-6","2025-03-14","Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Library Media","Library Media"
"Math Teacher (2)","2025-03-14","Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Mathematics Education","Math"
"Music Teacher (2) 4-6","2025-03-14","Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Music Education","Music"
"Music Teacher K-3","2025-03-14","Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Music Education","Music"
"Music Teacher K-12","2025-03-14","Teacher","Farson Schools","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Music Education","Music"
"PE/Health Teacher","2025-03-14","Teacher","Rock Springs Junior High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Physical Education","Physical Education"
"PE/Health Teacher-K-3","2025-03-14","Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Physical Education","Physical Education"
"Science Teacher","2025-03-14","Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Science Education","Science"
"Resource Teacher","2025-03-14","Teacher","Walnut Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Resource Teacher (2)","2025-03-14","Teacher","Rock Springs Junior High","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Resource Teacher (3)","2025-03-14","Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Resource Teacher","2025-03-14","Teacher","Pilot Butte Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Alternative Academic-Daily Living Skills Program Teacher (2)","2025-03-14","Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Trade and Technical Teacher (Industrial Arts/Ag)","2025-03-14","Teacher","Farson-Eden High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Technical Education","CTE - Trades, Ag & Technical"
"Physical Education Teacher","2025-03-14","Teacher","Truman Elementary School","https://www.applitrack.com/swcsd2/onlineapp/default.aspx?all=1","Sweetwater County School District 2","Physical Education","Physical Education"
"Elementary Classroom Teacher (K-6)","2025-03-14","Teacher","Location to be determined","https://www.applitrack.com/swcsd2/onlineapp/default.aspx?all=1","Sweetwater County School District 2","Elementary Education","Elementary"
"Physical Education Teacher","2025-03-14","Teacher","Green River High School","https://www.applitrack.com/swcsd2/onlineapp/default.aspx?all=1","Sweetwater County School District 2","Physical Education","Physical Education"
"Mathematics Teacher","2025-03-14","Teacher","Lincoln Middle School","https://www.applitrack.com/swcsd2/onlineapp/default.aspx?all=1","Sweetwater County School District 2","Mathematics Education","Math"
"Social Studies Teacher (Grades 6-8)","2025-03-14","Teacher","Lincoln Middle School","https://www.applitrack.com/swcsd2/onlineapp/default.aspx?all=1","Sweetwater County School District 2","Social Studies Education","Secondary Social Studies"
"Special Education Teacher (Grades 6-8)","2025-03-14","Teacher","Lincoln Middle School","https://www.applitrack.com/swcsd2/onlineapp/default.aspx?all=1","Sweetwater County School District 2","Special Education - General","Special Education - General"
"PEAK Teacher (Gifted and Talented)","2025-03-14","Teacher","TCSD Schools","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Gifted and Talented","Gifted and Talented"
"Elementary Dual Immersion Teacher, 3rd Grade-Spanish Instruction","2025-03-14","Teacher","Munger Mountain Elementary","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Elementary Education","Elementary"
"Elementary Teacher, Grades K-2, English and Dual Immersion (Spanish) Teachers","2025-03-14","Teacher","TCSD Schools","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Elementary Education","Elementary"
"Elementary Teacher, Grades 3-5, English and Dual Immersion (Spanish) Teachers","2025-03-14","Teacher","TCSD Schools","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Elementary Education","Elementary"
"High School CTE Teacher (Construction Technology)","2025-03-14","Teacher","Jackson Hole High School","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Technical Education","CTE - Trades, Ag & Technical"
"High School Math Teacher","2025-03-14","Teacher","Jackson Hole High School","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Mathematics Education","Math"
"Middle School Spanish Teacher","2025-03-14","Teacher","Jackson Hole Middle School","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Language Education","Language"
"K-12 Special Education Teacher","2025-03-14","Teacher","TCSD Schools","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Special Education - General","Special Education - General"
"Anticipated Early Education Teacher, Birth to age 3","2025-03-14","Teacher","TCSD Cubs","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Early Childhood Education","Early Childhood"
"Anticipated Early Education Teacher, Ages 3-5","2025-03-14","Teacher","TCSD Cubs","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Early Childhood Education","Early Childhood"
"Elementary Teacher","2025-03-14","Teacher","District Wide","https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1","Uinta County School District 1","Elementary Education","Elementary"
"Secondary English Language Arts Teacher","2025-03-14","Teacher","Horizon Alternative School","https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1","Uinta County School District 1","English Language Arts Education","English Language Arts Secondary"
"Secondary Math Teacher","2025-03-14","Teacher","Evanston High School","https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1","Uinta County School District 1","Mathematics Education","Math"
"Secondary Science Teacher - 8th Grade","2025-03-14","Teacher","Davis Middle School","https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1","Uinta County School District 1","Science Education","Science"
"SPED Resource Teachers","2025-03-14","Teacher","Davis Middle School/Evanston Middle School","https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1","Uinta County School District 1","Special Education - General","Special Education - General"
"SPED Resource Teacher","2025-03-14","Teacher","District Wide","https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1","Uinta County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Special Education Teacher - Torrington High School","2025-03-14","Teacher","Torrington High School","https://goshen.tedk12.com/hire/index.aspx#aJobListings","Goshen County School District 1","Special Education - General","Special Education - General"
"Math Teacher - Southeast Jr/Sr High Schools","2025-03-14","Teacher","Southeast Jr - Sr High School","https://goshen.tedk12.com/hire/index.aspx#aJobListings","Goshen County School District 1","Mathematics Education","Math"
"Secondary Art Teacher 2025-26 School Year","2025-03-14","Teacher","District","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Art Teacher","Art"
"Secondary Music Teacher 2025-26 School Year","2025-03-14","Teacher","District","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Music Education","Music"
"Secondary Science Teacher 2025-26 School Year","2025-03-14","Teacher","District","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Science Education","Science"
"Industrial Arts Teacher 2025-26 School Year","2025-03-14","Teacher","District","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Technical Education","CTE - Trades, Ag & Technical"
"Secondary English Language Arts Teacher for 2025-26 School Year","2025-03-14","Teacher","Burns Jr./Sr. High School","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","English Language Arts Education","English Language Arts Secondary"
"Elementary Teacher 2025-26 School Year","2025-03-14","Teacher","District","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Elementary Education","Elementary"
"Special Education Teacher","2025-03-14","Teacher","District","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Special Education - General","Special Education - General"
"Foreign Language Teacher 2025-2026 school year","2025-03-14","Teacher","Burns Jr./Sr. High School","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Language Education","Language"
"Computer Science Teacher [TC21]","2025-03-14","Teacher","JOHNSON JUNIOR HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Computer Science Education","CTE - Business & Family Sciences"
"Secondary Geography Teacher [TC36]","2025-03-14","Teacher","JOHNSON JUNIOR HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Social Studies Education","Secondary Social Studies"
"Secondary Math (7th grade) Teacher [TC23]","2025-03-14","Teacher","JOHNSON JUNIOR HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Mathematics Education","Math"
"Secondary TV Media/Photography Teacher [TO12]","2025-03-14","Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Uncategorized","Other"
"Secondary English Teacher [TC11]","2025-03-14","Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","English Language Arts Education","English Language Arts Secondary"
"Secondary Biology/Chemistry Teacher [TC26]","2025-03-14","Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Science Education","Science"
"Resource Teacher [XT21] - 2025/2026 Contract Year Only","2025-03-14","Teacher","HENDERSON ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"5th Grade Teacher [TA11]","2025-03-14","Teacher","COYOTE RIDGE ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"6th Grade Teacher [TA13]","2025-03-14","Teacher","ROSSMAN ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Uncategorized","Other"
"Resource Teacher [XT21]","2025-03-14","Teacher","HENDERSON ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"2nd Grade Teacher [TA05]","2025-03-14","Teacher","HENDERSON ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"Secondary Business Teacher [TC07]","2025-03-14","Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Business and Economics","CTE - Business & Family Sciences"
"Resource Teacher [XT21]","2025-03-14","Teacher","GOINS ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Grade 6 Teacher [TA13]","2025-03-14","Teacher","GOINS ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"Secondary Earth/Space Science Teacher [TC27]","2025-03-14","Teacher","CENTRAL HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Science Education","Science"
"Secondary Biology/Life Science Teacher [TC26]","2025-03-14","Teacher","CENTRAL HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Science Education","Science"
"1st Grade Dual Language Immersion Teacher [TA40]","2025-03-14","Teacher","HOBBS ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"6th Grade Teacher [TA13]","2025-03-14","Teacher","GILCHRIST ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Uncategorized","Other"
"4th Grade Teacher [TA09]","2025-03-14","Teacher","BAGGS ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"1st Grade Teacher [TA03]","2025-03-14","Teacher","ALTA VISTA ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"3rd Grade Teacher [TA07]","2025-03-14","Teacher","SUNRISE ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"5th Grade Teacher [TA11]","2025-03-14","Teacher","HEBARD ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"5th Grade Teacher [TA11]","2025-03-14","Teacher","AFFLERBACH ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"6th Grade Teacher [TA13]","2025-03-14","Teacher","AFFLERBACH ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Uncategorized","Other"
"4th Grade Classroom Teacher - One Year Only","2025-03-14","Teacher","DEMING ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"Kindergarten Teacher [TA01]","2025-03-14","Teacher","DAVIS ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"Middle School Science Teacher (7th and 8th)","2025-03-14","Teacher","PODER ACADEMY SECONDARY (PASS)","https://laramie1.schoolspring.com/","Laramie County School District 1","Science Education","Science"
"Secondary US History Teacher [TC39]","2025-03-14","Teacher","EAST HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Social Studies Education","Secondary Social Studies"
"Secondary Tech Ed Manufacturing Teacher [TC50]","2025-03-14","Teacher","EAST HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Technical Education","CTE - Trades, Ag & Technical"
"1st Grade Spanish Speaking DLI Teacher [TA40]","2025-03-14","Teacher","AFFLERBACH ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"Secondary Math Teacher [TC23]","2025-03-14","Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Mathematics Education","Math"
"Secondary English Teacher [TC11]","2025-03-14","Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","English Language Arts Education","English Language Arts Secondary"
"Secondary Spanish Teacher","2025-03-14","Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Language Education","Language"
"Secondary Math Teacher [TC23]","2025-03-14","Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Mathematics Education","Math"
"Secondary Math Teacher [TC23]","2025-03-14","Teacher","MCCORMICK JUNIOR HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Mathematics Education","Math"
"Secondary Biology/Life Science Teacher [TC26]","2025-03-14","Teacher","EAST HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Science Education","Science"
"Secondary Math Teacher [TC23]","2025-03-14","Teacher","EAST HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Mathematics Education","Math"
"Affective Needs Teacher","2025-03-14","Teacher","MEADOWLARK ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Special Education Teacher [XT21]","2025-03-14","Teacher","ARP ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education - General","Special Education - General"
"Special Education Teacher","2025-03-14","Teacher","AFFLERBACH ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education - General","Special Education - General"
"Teacher - Secondary Business [C23]","2025-03-14","Teacher","BUILDING TO BE DETERMINED","https://laramie1.schoolspring.com/","Laramie County School District 1","Business and Economics","CTE - Business & Family Sciences"
"Teacher - Secondary Family & Consumer Science [TC23]","2025-03-14","Teacher","BUILDING TO BE DETERMINED","https://laramie1.schoolspring.com/","Laramie County School District 1","Science Education","Science"
"Teacher - Secondary Science [TC23]","2025-03-14","Teacher","BUILDING TO BE DETERMINED","https://laramie1.schoolspring.com/","Laramie County School District 1","Science Education","Science"
"Teacher - Secondary Social Studies [TC23]","2025-03-14","Teacher","BUILDING TO BE DETERMINED","https://laramie1.schoolspring.com/","Laramie County School District 1","Social Studies Education","Secondary Social Studies"
"Teacher - Secondary English Language Arts [TC23]","2025-03-14","Teacher","BUILDING TO BE DETERMINED","https://laramie1.schoolspring.com/","Laramie County School District 1","English Language Arts Education","English Language Arts Secondary"
"Teacher - Secondary Math [TC23]","2025-03-14","Teacher","BUILDING TO BE DETERMINED","https://laramie1.schoolspring.com/","Laramie County School District 1","Mathematics Education","Math"
"Math Interventionist - Remainder of the 2024/2025 contract year only [TO23]","2025-03-14","Teacher","MILLER ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Mathematics Education","Math"
"Life Skills/PALS Teacher [XT30]","2025-03-14","Teacher","SUNRISE ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Senior JROTC Instructor","2025-03-14","Teacher","CENTRAL HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","CTE Teacher","CTE - Trades, Ag & Technical"
