"","Category","Archive_Date","Institution","sum"
"399","Humanities",2026-01-16,"Total",3
"400","Humanities",2026-01-23,"Total",3
"401","Humanities",2026-01-30,"Total",3
"402","Humanities",2026-02-06,"Total",3
"403","Humanities",2026-02-13,"Total",3
"404","Humanities",2026-02-20,"Total",3
"405","Humanities",2026-02-27,"Total",3
"406","Humanities",2026-08-03,"Total",11
"407","Legal",2025-02-21,"Total",2
"408","Legal",2025-02-28,"Total",2
"409","Legal",2025-03-07,"Total",2
"410","Legal",2025-03-14,"Total",2
"411","Legal",2025-03-21,"Total",1
"412","Legal",2025-03-28,"Total",1
"413","Legal",2025-04-04,"Total",1
"414","Legal",2025-04-11,"Total",1
"415","Legal",2025-04-18,"Total",1
"416","Legal",2025-04-25,"Total",1
"417","Legal",2025-05-02,"Total",1
"418","Legal",2025-05-09,"Total",1
"419","Legal",2025-05-16,"Total",1
"420","Legal",2025-05-23,"Total",2
"421","Legal",2025-05-30,"Total",2
"422","Legal",2025-06-06,"Total",2
"423","Legal",2025-06-13,"Total",2
"424","Legal",2025-06-20,"Total",2
"425","Legal",2025-06-27,"Total",2
"426","Legal",2025-07-04,"Total",2
"427","Legal",2025-07-11,"Total",2
"428","Legal",2025-07-18,"Total",1
"429","Legal",2025-07-25,"Total",1
"430","Legal",2025-08-01,"Total",1
"431","Legal",2025-08-08,"Total",1
"432","Legal",2025-08-29,"Total",1
"433","Legal",2025-09-05,"Total",1
"434","Legal",2025-09-12,"Total",3
"435","Legal",2025-09-19,"Total",4
"436","Legal",2025-09-26,"Total",4
"437","Legal",2025-10-03,"Total",5
"438","Legal",2025-10-10,"Total",5
"439","Legal",2025-10-17,"Total",5
"440","Legal",2025-10-24,"Total",3
"441","Legal",2025-10-31,"Total",2
"442","Legal",2025-11-07,"Total",2
"443","Legal",2025-11-14,"Total",2
"444","Legal",2025-11-21,"Total",2
"445","Legal",2025-11-28,"Total",2
"446","Legal",2025-12-05,"Total",2
"447","Legal",2025-12-12,"Total",2
"448","Legal",2025-12-19,"Total",1
"449","Legal",2025-12-26,"Total",1
"450","Legal",2026-01-02,"Total",1
"451","Legal",2026-01-09,"Total",1
"452","Legal",2026-01-16,"Total",1
"453","Legal",2026-01-23,"Total",1
"454","Legal",2026-01-30,"Total",1
"455","Legal",2026-02-06,"Total",1
"456","Legal",2026-02-13,"Total",1
"457","Legal",2026-02-20,"Total",1
"458","Legal",2026-02-27,"Total",1
"459","Library",2024-08-09,"Total",2
"460","Library",2024-08-16,"Total",2
"461","Library",2024-08-23,"Total",2
"462","Library",2024-08-30,"Total",2
"463","Library",2024-09-06,"Total",2
"464","Library",2024-09-13,"Total",2
"465","Library",2024-09-20,"Total",2
"466","Library",2024-09-27,"Total",2
"467","Library",2024-10-04,"Total",2
"468","Library",2024-10-11,"Total",2
"469","Library",2024-10-18,"Total",3
"470","Library",2024-10-25,"Total",3
"471","Library",2024-11-01,"Total",3
"472","Library",2024-11-08,"Total",3
"473","Library",2024-11-15,"Total",1
"474","Library",2024-11-22,"Total",1
"475","Library",2024-11-29,"Total",1
"476","Library",2024-12-06,"Total",1
"477","Library",2024-12-13,"Total",1
"478","Library",2024-12-20,"Total",1
"479","Library",2024-12-27,"Total",1
"480","Library",2025-01-03,"Total",1
"481","Library",2025-01-10,"Total",1
"482","Library",2025-01-17,"Total",1
"483","Library",2025-01-24,"Total",1
"484","Library",2025-01-31,"Total",2
"485","Library",2025-02-07,"Total",2
"486","Library",2025-02-14,"Total",2
"487","Library",2025-02-21,"Total",2
"488","Library",2025-02-28,"Total",2
"489","Library",2025-03-07,"Total",2
"490","Library",2025-03-14,"Total",2
"491","Library",2025-03-21,"Total",2
"492","Library",2025-03-28,"Total",2
"493","Library",2025-04-04,"Total",1
"494","Library",2025-04-11,"Total",1
"495","Library",2025-04-18,"Total",2
"496","Library",2025-04-25,"Total",2
"497","Library",2025-05-02,"Total",2
"498","Library",2025-05-09,"Total",2
"499","Library",2025-05-16,"Total",2
"500","Library",2025-05-23,"Total",2
"501","Library",2025-05-30,"Total",1
"502","Library",2025-06-06,"Total",2
"503","Library",2025-06-13,"Total",3
"504","Library",2025-06-20,"Total",4
"505","Library",2025-06-27,"Total",5
"506","Library",2025-07-04,"Total",5
"507","Library",2025-07-11,"Total",5
"508","Library",2025-07-18,"Total",5
"509","Library",2025-07-25,"Total",5
"510","Library",2025-08-01,"Total",5
"511","Library",2025-08-08,"Total",7
"512","Library",2025-08-15,"Total",7
"513","Library",2025-08-22,"Total",7
"514","Library",2025-08-29,"Total",7
"515","Library",2025-09-05,"Total",7
"516","Library",2025-09-12,"Total",7
"517","Library",2025-09-19,"Total",5
"518","Library",2025-09-26,"Total",4
"519","Library",2025-10-03,"Total",4
"520","Library",2025-10-10,"Total",3
"521","Library",2025-10-17,"Total",3
"522","Library",2025-10-24,"Total",2
"523","Library",2025-10-31,"Total",2
"524","Library",2025-11-07,"Total",1
"525","Library",2025-12-12,"Total",1
"526","Library",2025-12-19,"Total",1
"527","Library",2025-12-26,"Total",1
"528","Library",2026-01-02,"Total",1
"529","Library",2026-01-09,"Total",1
"530","Library",2026-01-16,"Total",1
"531","Library",2026-01-23,"Total",1
"532","Library",2026-01-30,"Total",1
"533","Library",2026-02-06,"Total",1
"534","Library",2026-02-13,"Total",1
"535","Library",2026-02-20,"Total",1
"536","Library",2026-02-27,"Total",1
"537","Math",2024-08-09,"Total",1
"538","Math",2024-08-16,"Total",1
"539","Math",2024-08-23,"Total",1
"540","Math",2024-08-30,"Total",1
"541","Math",2024-09-06,"Total",1
"542","Math",2024-09-13,"Total",1
"543","Math",2024-09-20,"Total",1
"544","Math",2024-09-27,"Total",1
"545","Math",2024-10-04,"Total",1
"546","Math",2024-10-11,"Total",3
"547","Math",2024-10-18,"Total",3
"548","Math",2024-10-25,"Total",4
"549","Math",2024-11-01,"Total",4
"550","Math",2024-11-08,"Total",4
"551","Math",2024-11-15,"Total",4
"552","Math",2024-11-22,"Total",5
"553","Math",2024-11-29,"Total",5
"554","Math",2024-12-06,"Total",5
"555","Math",2024-12-13,"Total",5
"556","Math",2024-12-20,"Total",5
"557","Math",2024-12-27,"Total",5
"558","Math",2025-01-03,"Total",5
"559","Math",2025-01-10,"Total",5
"560","Math",2025-01-17,"Total",5
"561","Math",2025-01-24,"Total",5
"562","Math",2025-01-31,"Total",5
"563","Math",2025-02-07,"Total",5
"564","Math",2025-02-14,"Total",5
"565","Math",2025-02-21,"Total",5
"566","Math",2025-02-28,"Total",6
"567","Math",2025-03-07,"Total",5
"568","Math",2025-03-14,"Total",5
"569","Math",2025-03-21,"Total",5
"570","Math",2025-03-28,"Total",5
