"District","County","Latitude","Longitude","Link","Job_Link","Teacher_Base_Salary","Teacher_Base_Salary_Prior_Year","Salary_Year","Superintendent_Salary","Superintendent_Contract_Days","Salary_Source","Teachers_Total_FTE","Enrollment","CCD_Year","CCD_Source","Data_Coverage","Median_Household_Income","Median_Gross_Rent","Population","ACS_Year","Mining_Employment_Share","Population_Change_Pct"
"Lincoln County School District 1","Lincoln County, Wyoming",41.78428,-110.537943,"https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1",55500,55000,"2025-2026",81320,260,"WSBA (wsba-wy.org)",44,637,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",89330,960,20486,2024,0.0555719484607062,0.0628826398256719
"Lincoln County School District 2","Lincoln County, Wyoming",42.726201,-110.928226,"https://lcsd2.org/employment-opportunities/","https://lcsd2.org/employment-opportunities/",63070,60380,"2025-2026",220340,260,"WSBA (wsba-wy.org)",212,2924,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Partial (WSBA + own page)",89330,960,20486,2024,0.0555719484607062,0.0628826398256719
"Natrona School District 1","Natrona County, Wyoming",42.86049,-106.340171,"https://natronaschools.tedk12.com/hire/index.aspx","https://natronaschools.schoolspring.com/",54100,52000,"2025-2026",218557,260,"WSBA (wsba-wy.org)",884,12352,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",72156,1016,79977,2024,0.0579024669537726,-0.004431553657899
"Niobrara County School District 1","Niobrara County, Wyoming",42.760099,-104.45919,"https://www.growingluskleaders.org/page/human-resources","https://www.growingluskleaders.org/page/human-resources",50000,50000,"2025-2026",134000,260,"WSBA (wsba-wy.org)",73,935,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Partial (WSBA + own page)",64113,605,2368,2024,0.0419213973799127,-0.0222956234516928
"Park County School District 1","Park County, Wyoming",44.75394,-108.753651,"https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1",54000,53000,"2025-2026",185500,261,"WSBA (wsba-wy.org)",141,1778,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",73035,925,30449,2024,0.0196026136818242,0.0446342802250583
"Park County School District 16","Park County, Wyoming",44.153664,-108.872369,"https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","https://pcsd16.com/271372_2",49000,49000,"2025-2026",133475,260,"WSBA (wsba-wy.org)",18,98,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Partial (WSBA + own page)",73035,925,30449,2024,0.0196026136818242,0.0446342802250583
"Park County School District 6","Park County, Wyoming",44.523235,-109.068901,"https://www.park16.k12.wy.us/43965_1","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1",50610,50110,"2025-2026",175134,261,"WSBA (wsba-wy.org)",170,2008,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",73035,925,30449,2024,0.0196026136818242,0.0446342802250583
"Platte County School District 1","Platte County, Wyoming",42.06,-104.959315,"https://www.platte1.org/377683_4","https://www.platte1.org/377683_4",50643,50000,"2025-2026",152642,260,"WSBA (wsba-wy.org)",77,882,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Partial (WSBA + own page)",67718,781,8612,2024,0.00729312762973352,0.00349568865066418
"Platte County School District 2","Platte County, Wyoming",42.264807,-104.742339,"https://www.guernseysunrise.org/page/employment","https://www.guernseysunrise.org/page/employment",50000,46500,"2025-2026",112000,240,"WSBA (wsba-wy.org)",24,190,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Partial (WSBA + own page)",67718,781,8612,2024,0.00729312762973352,0.00349568865066418
"Sheridan County School District 1","Sheridan County, Wyoming",44.906513,-107.175422,"https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1",52273,48401,"2025-2026",164000,240,"WSBA (wsba-wy.org)",95,1241,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",71388,939,32055,2024,0.0396835363556449,0.0635368281353683
"Sheridan County School District 2","Sheridan County, Wyoming",44.79951,-106.951301,"https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1",54000,51000,"2025-2026",NA,NA,"WSBA (wsba-wy.org)",270,3454,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",71388,939,32055,2024,0.0396835363556449,0.0635368281353683
"Sheridan County School District 3","Sheridan County, Wyoming",44.637318,-106.38178,"https://www.sheridan3.com/page/hr-and-career-opportunities","https://www.sheridan3.com/page/hr-and-career-opportunities",48000,46275,"2025-2026",128060,224,"WSBA (wsba-wy.org)",15,86,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Partial (WSBA + own page)",71388,939,32055,2024,0.0396835363556449,0.0635368281353683
"Sublette County School District 1","Sublette County, Wyoming",42.873258,-109.860241,"https://www.sub1.org/en-US/employment-and-human-resources-f26202d3","https://www.sub1.org/en-US/employment-and-human-resources-f26202d3",60500,55500,"2025-2026",190300,260,"WSBA (wsba-wy.org)",88,1032,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Partial (WSBA + own page)",83597,1209,8838,2024,0.129154583983939,-0.105465587044534
"Sublette County School District 9","Sublette County, Wyoming",42.537997,-110.115507,"https://www.applitrack.com/sublette/onlineapp/default.aspx?all=1","https://www.sublette9.org/apps/pages/index.jsp?uREC_ID=4445550&type=d&pREC_ID=2685329",51250,51250,"2025-2026",NA,NA,"WSBA (wsba-wy.org)",46,431,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",83597,1209,8838,2024,0.129154583983939,-0.105465587044534
"Sweetwater County School District 1","Sweetwater County, Wyoming",41.590037,-109.25287,"https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1",56250,55250,"2025-2026",212000,260,"WSBA (wsba-wy.org)",335,4789,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",75034,911,41542,2024,0.150397331502011,-0.045472300728384
"Sweetwater County School District 2","Sweetwater County, Wyoming",41.511244,-109.46542,"https://www.applitrack.com/swcsd2/onlineapp/default.aspx?all=1","https://www.applitrack.com/swcsd2/onlineapp/default.aspx?all=1",55000,54280,"2025-2026",NA,NA,"WSBA (wsba-wy.org)",183,2286,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",75034,911,41542,2024,0.150397331502011,-0.045472300728384
"Teton County School District 1","Teton County, Wyoming",43.462411,-110.800275,"https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1",68369,NA,"2025-2026",225000,261,"WSBA (wsba-wy.org)",263,2827,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",124172,1904,23396,2024,0.00497512437810945,0.00498281786941581
